title,product_id,user_id,url
PARWIN Infrared Flat Iron 1 1/4 Inch Digital Hair Straightener Iron with Ceramic Tourmaline Plate Temperature Control Hair Iron Christmas Gift Black,B07DPKZPRH,AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,https://m.media-amazon.com/images/I/41f6wWini1L.jpg
AG Care Natural Remedy Apple Cider Vinegar Leave On Mist,B0BG6WX4DH,AGYVC7KVHP2AWM7BDCEYNHFA6F3Q,https://m.media-amazon.com/images/I/31oLN+uIjjL.jpg
"Water Flosser Cordless Teeth Cleaner, SOOCAS Professional Oral Irrigator 230ML Portable and Rechargeable Water Dental Flosser with 3 Modes and 4 Jet Tips, IPX7 Waterproof, USB Charged for 30 Days Use",B07LCHCD6Q,AFWVN52MRBWOTIK7UGXBWGOY4HBA,https://m.media-amazon.com/images/I/314sDuNSdQL.jpg
Women Facial Razor for Hair Removal - Dermaplaning Tool Peach Fuzz Trimmer Womens Fine Hair Remover Eyebrow Razors and Dermaplane Face Shavers Women's Exfoliating for Sensitive Skin Essential Travel,B07R3BMYBG,AGLGCQJ6R7DK2HOZRYGHMQ7D6BTA,https://m.media-amazon.com/images/I/41YZHPlhn+L.jpg
N3 No Name Necessary Pore-Minimizing Mattifying Oil and Shine Control Anti-aging Makeup Face Primer Spray (200ml),B07QN8B5VG,AEIFXWDWF3NU6Y5L5VQBEITE7KJQ,https://m.media-amazon.com/images/I/31tZoM46t0L.jpg
"Mountain Falls Advanced Formula Nail Polish Remover Pads with 96% Acetone, for Natural Nails, 10 Count",B07S7G1WPT,AF7XNTURXVPO55T5EP4B4DVPQPPQ,https://m.media-amazon.com/images/I/41foMltePvL.jpg
Segbeauty empty bottle 290,B07TLMZL3T,AFKZESU3PTCQ2UVDBDSFVFTXBFNQ_2,https://m.media-amazon.com/images/I/31oTJurWykL.jpg
"Natural Solution Himalayan Pink Salt Body Scrub with Natural Honey,Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care - 12.3 oz",B076DGMQTM,AF2BLE54TEMGZ546U763ZHZRXC4A,https://m.media-amazon.com/images/I/417GsUwc1CL.jpg
"Natural Solution Himalayan Pink Salt Body Scrub with Organic Marula Essential Oil, Moisturizes and Nourishes Face & Skin - 12.3 Oz",B076DBLG1K,AG73BVBKUOH22USSFJA5ZWL7AKXA,https://m.media-amazon.com/images/I/412D3dgvpxL.jpg
"Embryolisse Eau de Beaute Rosamelis Face Toner, 6.76 Fl Oz",B00TK0VV68,AERGQ6U7YCR6JZ54FFKYPUM7PFDQ,https://m.media-amazon.com/images/I/31pb1b+HkWL.jpg
